"Notes"	"County"	"County Code"	Births
	"Clermont County, OH"	"39025"	2281
	"Columbiana County, OH"	"39029"	1097
	"Cuyahoga County, OH"	"39035"	14842
	"Delaware County, OH"	"39041"	2179
	"Fairfield County, OH"	"39045"	1695
	"Franklin County, OH"	"39049"	19173
	"Greene County, OH"	"39057"	1889
	"Hamilton County, OH"	"39061"	10976
	"Lake County, OH"	"39085"	2346
	"Licking County, OH"	"39089"	1864
	"Lorain County, OH"	"39093"	3390
	"Lucas County, OH"	"39095"	5567
	"Mahoning County, OH"	"39099"	2375
	"Medina County, OH"	"39103"	1725
	"Miami County, OH"	"39109"	1182
	"Montgomery County, OH"	"39113"	6659
	"Portage County, OH"	"39133"	1392
	"Richland County, OH"	"39139"	1434
	"Stark County, OH"	"39151"	4222
	"Summit County, OH"	"39153"	6044
	"Trumbull County, OH"	"39155"	2090
	"Warren County, OH"	"39165"	2318
	"Wayne County, OH"	"39169"	1531
	"Wood County, OH"	"39173"	1380
	"Unidentified Counties, OH"	"39999"	30993
	"Canadian County, OK"	"40017"	1741
	"Cleveland County, OK"	"40027"	2886
	"Comanche County, OK"	"40031"	1814
	"Oklahoma County, OK"	"40109"	12518
	"Tulsa County, OK"	"40143"	9672
	"Unidentified Counties, OK"	"40999"	24491
	"Clackamas County, OR"	"41005"	4141
	"Deschutes County, OR"	"41017"	1787
	"Douglas County, OR"	"41019"	1096
	"Jackson County, OR"	"41029"	2396
	"Lane County, OR"	"41039"	3607
	"Linn County, OR"	"41043"	1518
	"Marion County, OR"	"41047"	4448
	"Multnomah County, OR"	"41051"	9420
	"Washington County, OR"	"41067"	6923
	"Unidentified Counties, OR"	"41999"	10319
	"Adams County, PA"	"42001"	1037
	"Allegheny County, PA"	"42003"	13311
	"Beaver County, PA"	"42007"	1701
	"Berks County, PA"	"42011"	4754
	"Blair County, PA"	"42013"	1326
	"Bucks County, PA"	"42017"	6014
	"Butler County, PA"	"42019"	1858
	"Cambria County, PA"	"42021"	1322
	"Centre County, PA"	"42027"	1277
	"Chester County, PA"	"42029"	5503
	"Cumberland County, PA"	"42041"	2645
	"Dauphin County, PA"	"42043"	3371
	"Delaware County, PA"	"42045"	6554
	"Erie County, PA"	"42049"	3132
	"Fayette County, PA"	"42051"	1437
	"Franklin County, PA"	"42055"	1838
